shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern
shape_000203,owl:AnnotationProperty,http://www.w3.org/2002/07/owl#AnnotationProperty,rdfs:isDefinedBy,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,owl:Ontology,http://www.w3.org/2002/07/owl#Ontology,0,0,0.0,0.0,owl:AnnotationProperty -> rdfs:isDefinedBy -> owl:Ontology
shape_000202,owl:DatatypeProperty,http://www.w3.org/2002/07/owl#DatatypeProperty,rdfs:isDefinedBy,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,owl:Ontology,http://www.w3.org/2002/07/owl#Ontology,0,0,0.0,0.0,owl:DatatypeProperty -> rdfs:isDefinedBy -> owl:Ontology
shape_000201,owl:Class,http://www.w3.org/2002/07/owl#Class,rdfs:isDefinedBy,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,owl:Ontology,http://www.w3.org/2002/07/owl#Ontology,0,0,0.0,0.0,owl:Class -> rdfs:isDefinedBy -> owl:Ontology
shape_000200,owl:Ontology,http://www.w3.org/2002/07/owl#Ontology,dcterms:creator,http://purl.org/dc/terms/creator,Resource,Resource,0,0,0.0,0.0,owl:Ontology -> dcterms:creator -> Resource
shape_000199,fabio:Article,http://purl.org/spar/fabio/Article,dcterms:creator,http://purl.org/dc/terms/creator,schema:Person,https://schema.org/Person,0,0,0.0,0.0,fabio:Article -> dcterms:creator -> schema:Person
shape_000198,fabio:Letter,http://purl.org/spar/fabio/Letter,dcterms:creator,http://purl.org/dc/terms/creator,schema:Person,https://schema.org/Person,0,0,0.0,0.0,fabio:Letter -> dcterms:creator -> schema:Person
shape_000197,fabio:ReportDocument,http://purl.org/spar/fabio/ReportDocument,dcterms:creator,http://purl.org/dc/terms/creator,schema:Person,https://schema.org/Person,0,0,0.0,0.0,fabio:ReportDocument -> dcterms:creator -> schema:Person
shape_000228,fabio:JournalArticle,http://purl.org/spar/fabio/JournalArticle,frbr:realizationOf,http://purl.org/vocab/frbr/core#realizationOf,fabio:SystematicReview,http://purl.org/spar/fabio/SystematicReview,0,0,0.0,0.0,fabio:JournalArticle -> frbr:realizationOf -> fabio:SystematicReview
shape_000227,fabio:ReportDocument,http://purl.org/spar/fabio/ReportDocument,frbr:realizationOf,http://purl.org/vocab/frbr/core#realizationOf,fabio:TechnicalReport,http://purl.org/spar/fabio/TechnicalReport,0,0,0.0,0.0,fabio:ReportDocument -> frbr:realizationOf -> fabio:TechnicalReport
shape_000226,fabio:ReportDocument,http://purl.org/spar/fabio/ReportDocument,frbr:realizationOf,http://purl.org/vocab/frbr/core#realizationOf,fabio:ClinicalTrialReport,http://purl.org/spar/fabio/ClinicalTrialReport,0,0,0.0,0.0,fabio:ReportDocument -> frbr:realizationOf -> fabio:ClinicalTrialReport
shape_000225,fabio:Expression,http://purl.org/spar/fabio/Expression,frbr:realizationOf,http://purl.org/vocab/frbr/core#realizationOf,fabio:Biography,http://purl.org/spar/fabio/Biography,0,0,0.0,0.0,fabio:Expression -> frbr:realizationOf -> fabio:Biography
shape_000224,fabio:Expression,http://purl.org/spar/fabio/Expression,frbr:realizationOf,http://purl.org/vocab/frbr/core#realizationOf,fabio:ProductReview,http://purl.org/spar/fabio/ProductReview,0,0,0.0,0.0,fabio:Expression -> frbr:realizationOf -> fabio:ProductReview
shape_000223,owl:AnnotationProperty,http://www.w3.org/2002/07/owl#AnnotationProperty,rdfs:subPropertyOf,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,Resource,Resource,0,0,0.0,0.0,owl:AnnotationProperty -> rdfs:subPropertyOf -> Resource
shape_000222,rdf:Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,rdfs:subPropertyOf,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,Resource,Resource,0,0,0.0,0.0,rdf:Property -> rdfs:subPropertyOf -> Resource
shape_000221,rdf:Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,rdfs:subPropertyOf,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,owl:ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty,0,0,0.0,0.0,rdf:Property -> rdfs:subPropertyOf -> owl:ObjectProperty
shape_000220,owl:ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty,rdfs:subPropertyOf,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,rdf:Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,0,0,0.0,0.0,owl:ObjectProperty -> rdfs:subPropertyOf -> rdf:Property
shape_000219,rdf:Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,rdfs:subPropertyOf,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,owl:DatatypeProperty,http://www.w3.org/2002/07/owl#DatatypeProperty,0,0,0.0,0.0,rdf:Property -> rdfs:subPropertyOf -> owl:DatatypeProperty
shape_000218,owl:ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty,rdfs:subPropertyOf,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,owl:ObjectProperty,http://www.w3.org/2002/07/owl#ObjectProperty,0,0,0.0,0.0,owl:ObjectProperty -> rdfs:subPropertyOf -> owl:ObjectProperty
shape_000217,owl:DatatypeProperty,http://www.w3.org/2002/07/owl#DatatypeProperty,rdfs:subPropertyOf,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,rdf:Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,0,0,0.0,0.0,owl:DatatypeProperty -> rdfs:subPropertyOf -> rdf:Property
shape_000216,rdf:Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,rdfs:subPropertyOf,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,rdf:Property,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,0,0,0.0,0.0,rdf:Property -> rdfs:subPropertyOf -> rdf:Property
