class_name,class_uri,total_instances,instances_in_partitions,partition_occurrences,occurrence_coverage_percent,avg_occurrences_per_instance
data_1025,http://edamontology.org/data_1025,12490,7370,7370,59.00720576461169,1.0
data_2291,http://edamontology.org/data_2291,7845,0,0,0.0,0.0
KeyEventRelationship,http://aopkb.org/aop_ontology#KeyEventRelationship,2255,0,0,0.0,0.0
data_2298,http://edamontology.org/data_2298,1630,0,0,0.0,0.0
KeyEvent,http://aopkb.org/aop_ontology#KeyEvent,1549,0,0,0.0,0.0
data_1027,http://edamontology.org/data_1027,1534,1534,1534,100.0,1.0
data_1033,http://edamontology.org/data_1033,1481,0,0,0.0,0.0
BiologicalEvent,http://aopkb.org/aop_ontology#BiologicalEvent,1096,1096,1096,100.0,1.0
C54571,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54571,730,0,0,0.0,0.0
AdverseOutcomePathway,http://aopkb.org/aop_ontology#AdverseOutcomePathway,562,0,0,0.0,0.0
GO_0008150,http://purl.obolibrary.org/obo/GO_0008150,547,0,0,0.0,0.0
PATO_0001241,http://purl.obolibrary.org/obo/PATO_0001241,483,0,0,0.0,0.0
CHEMINF_000409,http://semanticscience.org/resource/CHEMINF_000409,466,0,0,0.0,0.0
CHEMINF_000407,http://semanticscience.org/resource/CHEMINF_000407,432,0,0,0.0,0.0
CHEMINF_000405,http://semanticscience.org/resource/CHEMINF_000405,420,0,0,0.0,0.0
CHEMINF_000408,http://semanticscience.org/resource/CHEMINF_000408,420,0,0,0.0,0.0
CHEMINF_000140,http://semanticscience.org/resource/CHEMINF_000140,417,0,0,0.0,0.0
CHEMINF_000567,http://semanticscience.org/resource/CHEMINF_000567,417,0,0,0.0,0.0
CHEMINF_000000,http://semanticscience.org/resource/CHEMINF_000000,406,0,0,0.0,0.0
CHEMINF_000446,http://semanticscience.org/resource/CHEMINF_000446,406,0,0,0.0,0.0
CHEMINF_000412,http://semanticscience.org/resource/CHEMINF_000412,344,0,0,0.0,0.0
CHEMINF_000406,http://semanticscience.org/resource/CHEMINF_000406,215,0,0,0.0,0.0
131567,http://purl.bioontology.org/ontology/NCBITAXON/131567,175,0,0,0.0,0.0
OrganContext,http://aopkb.org/aop_ontology#OrganContext,95,0,0,0.0,0.0
CellTypeContext,http://aopkb.org/aop_ontology#CellTypeContext,68,0,0,0.0,0.0
CHEMINF_000564,http://semanticscience.org/resource/CHEMINF_000564,35,0,0,0.0,0.0
Dataset,http://rdfs.org/ns/void#Dataset,4,0,0,0.0,0.0
Linkset,http://rdfs.org/ns/void#Linkset,2,0,0,0.0,0.0
