iri,as_subject,as_object,subject_pattern,object_pattern
http://purl.org/commons/record/mesh/D061205,1,3,go:0008150 -> dc:identifier -> go:0008150,aopo:KeyEvent -> go:0008150 -> go:0008150
https://identifiers.org/chebi/29866,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/33217,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
http://purl.org/commons/record/mesh/D012380,1,3,go:0008150 -> dc:identifier -> go:0008150,aopo:KeyEvent -> go:0008150 -> go:0008150
http://purl.org/commons/record/mesh/D007674,1,3,go:0008150 -> dc:identifier -> go:0008150,aopo:KeyEvent -> go:0008150 -> go:0008150
https://identifiers.org/chebi/30512,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/81955,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/82261,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/16236,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/10023,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/27899,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
http://purl.org/commons/record/mesh/D003490,1,3,pato:0001241 -> dc:identifier -> pato:0001241,aopo:KeyEvent -> pato:0001241 -> pato:0001241
https://identifiers.org/chebi/16240,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/28088,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/48574,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/83394,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/35456,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/16583,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/16842,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/6651,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/27810,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/31689,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/37943,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
https://identifiers.org/chebi/46961,0,2,,cheminf:000000 -> skos:exactMatch -> cheminf:000407
