subject_class,subject_uri,property,property_uri,object_class,object_uri
IAO_0000129,http://purl.obolibrary.org/obo/IAO_0000129,has-value,http://semanticscience.org/resource/has-value,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Descriptor,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Descriptor,has-value,http://semanticscience.org/resource/has-value,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
IAO_0000129,http://purl.obolibrary.org/obo/IAO_0000129,SIO_000300,http://semanticscience.org/resource/SIO_000300,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Descriptor,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Descriptor,SIO_000300,http://semanticscience.org/resource/SIO_000300,Literal,http://www.w3.org/2000/01/rdf-schema#Literal
Descriptor,http://rdf.ncbi.nlm.nih.gov/pubchem/vocabulary#Descriptor,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
IAO_0000129,http://purl.obolibrary.org/obo/IAO_0000129,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Resource,http://www.w3.org/2000/01/rdf-schema#Resource
