shape_id,subject_class,subject_uri,property,property_uri,object_class,object_uri,total_entities,participating_entities,occurrence_count,coverage_ratio,coverage_percent,shape_pattern,error
shape_000213,chebi:25389,http://purl.obolibrary.org/obo/CHEBI_25389,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,22,22.0,22,1.0,100.0,chebi:25389 -> sio:000008 -> cheminf:000018,
shape_000214,chebi:25392,http://purl.obolibrary.org/obo/CHEBI_25392,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,1091,1091.0,1091,1.0,100.0,chebi:25392 -> sio:000008 -> cheminf:000018,
shape_000199,chebi:25036,http://purl.obolibrary.org/obo/CHEBI_25036,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,3306,3306.0,3306,1.0,100.0,chebi:25036 -> sio:000008 -> cheminf:000018,
shape_000200,chebi:25099,http://purl.obolibrary.org/obo/CHEBI_25099,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,36,36.0,36,1.0,100.0,chebi:25099 -> sio:000008 -> cheminf:000018,
shape_000201,chebi:25106,http://purl.obolibrary.org/obo/CHEBI_25106,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,597,597.0,597,1.0,100.0,chebi:25106 -> sio:000008 -> cheminf:000018,
shape_000202,chebi:25185,http://purl.obolibrary.org/obo/CHEBI_25185,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,21,21.0,21,1.0,100.0,chebi:25185 -> sio:000008 -> cheminf:000018,
shape_000203,chebi:25186,http://purl.obolibrary.org/obo/CHEBI_25186,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,756,756.0,756,1.0,100.0,chebi:25186 -> sio:000008 -> cheminf:000018,
shape_000204,chebi:25196,http://purl.obolibrary.org/obo/CHEBI_25196,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,1,1.0,1,1.0,100.0,chebi:25196 -> sio:000008 -> cheminf:000018,
shape_000205,chebi:25216,http://purl.obolibrary.org/obo/CHEBI_25216,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,22,22.0,22,1.0,100.0,chebi:25216 -> sio:000008 -> cheminf:000018,
shape_000206,chebi:25223,http://purl.obolibrary.org/obo/CHEBI_25223,sio:000008,http://semanticscience.org/resource/SIO_000008,cheminf:000018,http://semanticscience.org/resource/CHEMINF_000018,88,88.0,88,1.0,100.0,chebi:25223 -> sio:000008 -> cheminf:000018,
